Ref,Val,Package,PosX,PosY,Rot,Side
"C1","10uF","C_0603_1608Metric",184.296101,-154.709452,90.000000,top
"C2","0.1uF","C_0603_1608Metric",182.372000,-154.673000,90.000000,top
"C3","1uF","C_0603_1608Metric",180.079637,-134.368739,90.000000,top
"C4","0.1uF","C_0603_1608Metric",180.340000,-155.448000,90.000000,top
"C5","1uF","C_0603_1608Metric",188.976000,-128.016000,90.000000,top
"C19","100uF","C_1206_3216Metric",233.680000,-129.540000,0.000000,top
"C20","0.1uF","C_0603_1608Metric",237.744000,-129.032000,0.000000,top
"C24","0.1uF/50V","C_0603_1608Metric",206.270824,-133.802845,0.000000,top
"C25","0.1uF/50V","C_0603_1608Metric",196.541473,-137.601750,0.000000,top
"C26","10uF","C_0603_1608Metric",196.596352,-139.371945,0.000000,top
"C27","10uF","C_0603_1608Metric",206.284296,-135.476335,0.000000,top
"C32","0.1uF","C_0603_1608Metric",233.172000,-126.010150,0.000000,top
"C33","10uF","C_0603_1608Metric",233.172000,-127.534150,0.000000,top
"C34","0.1uF","C_0603_1608Metric",226.568000,-126.010150,180.000000,top
"C35","1uF","C_0603_1608Metric",226.568000,-128.042150,0.000000,top
"C36","1uF","C_0603_1608Metric",229.616000,-128.042150,0.000000,top
"C37","1uF","C_0603_1608Metric",228.092000,-129.566150,180.000000,top
"C38","1uF","C_0603_1608Metric",237.744000,-127.000000,0.000000,top
"C39","1uF","C_0603_1608Metric",226.686000,-156.092000,0.000000,top
"C40","1uF","C_0603_1608Metric",227.676000,-150.444000,0.000000,top
"C41","0.1uF","C_0603_1608Metric",226.686000,-158.572000,0.000000,top
"C42","0.1uF","C_0603_1608Metric",227.676000,-152.476000,0.000000,top
"C43","1uF","C_0603_1608Metric",223.879000,-152.476000,0.000000,top
"C44","1uF","C_0603_1608Metric",223.399000,-158.602000,0.000000,top
"C45","10uF","C_0603_1608Metric",229.708000,-159.954998,90.000000,top
"C46","10uF","C_0603_1608Metric",229.708000,-156.906998,90.000000,top
"C47",".1uF","C_0603_1608Metric",223.879000,-150.952000,0.000000,top
"C48","0.1uF","C_0603_1608Metric",223.371000,-156.032000,0.000000,top
"C49","C 2.2uF","C_0603_1608Metric",237.836000,-156.540000,90.000000,top
"C50","C 2.2uF","C_0603_1608Metric",232.402500,-154.616000,180.000000,top
"C51","C 0.1uF","C_0603_1608Metric",230.370500,-151.568000,-90.000000,top
"C52","C 2.2uF","C_0603_1608Metric",236.466500,-151.568000,-90.000000,top
"C53","10uF","C_0603_1608Metric",238.498500,-151.568000,-90.000000,top
"C54","C 2.2uF","C_0603_1608Metric",240.884000,-152.984000,180.000000,top
"C55","10uF","C_0603_1608Metric",240.884000,-150.952000,180.000000,top
"C56","1nF","C_0402_1005Metric",243.812000,-128.016000,0.000000,top
"D1","TPD4E1B06DCKR","TVS_TPD4E1B06DCKR",264.252000,-134.112000,-90.000000,top
"D2","TPD4E1B06DCKR","TVS_TPD4E1B06DCKR",264.252000,-138.684000,-90.000000,top
"D3","TPD4E1B06DCKR","TVS_TPD4E1B06DCKR",264.252000,-143.764000,-90.000000,top
"D4","TPD4E1B06DCKR","TVS_TPD4E1B06DCKR",264.252000,-148.336000,-90.000000,top
"D5","TPD4E1B06DCKR","TVS_TPD4E1B06DCKR",264.252000,-152.908000,-90.000000,top
"D6","TPD4E1B06DCKR","TVS_TPD4E1B06DCKR",264.252000,-129.540000,-90.000000,top
"D10","1N5819HW-7-F","SOD3715X145N",198.213741,-142.326374,0.000000,top
"D11","EMERALD LED","LED_0805_2012Metric",211.461473,-141.224000,0.000000,top
"D12","TPD4E1B06DCKR","TVS_TPD4E1B06DCKR",206.332000,-145.938000,0.000000,top
"J1","USB_B_Micro","USB_Micro-B_Amphenol_10118194_Horizontal",198.852000,-161.420000,0.000000,top
"J2","Conn_01x11","PinSocket_1x11_P2.54mm_Vertical",255.616000,-127.092000,0.000000,top
"J3","Conn_01x11","PinSocket_1x11_P2.54mm_Vertical",259.680000,-127.092000,0.000000,top
"J4","Conn_01x02","PinSocket_1x02_P2.54mm_Vertical",259.680000,-156.464000,0.000000,top
"J5","Conn_01x02","PinSocket_1x02_P2.54mm_Vertical",255.616000,-156.464000,0.000000,top
"J7","Conn_01x08","PinHeader_1x08_P2.54mm_Vertical",218.948000,-142.748000,0.000000,top
"R1","R 2.2k","C_0402_1005Metric",252.476000,-137.668000,180.000000,top
"R2","R 2.2k","C_0402_1005Metric",252.476000,-142.240000,180.000000,top
"R3","R 2.2k","C_0402_1005Metric",252.476000,-147.320000,180.000000,top
"R4","R 2.2k","C_0402_1005Metric",251.996000,-127.000000,180.000000,top
"R5","R 2.2k","C_0402_1005Metric",251.996000,-132.080000,180.000000,top
"R6","10k","R_0603_1608Metric",182.589637,-134.368739,-90.000000,top
"R7","R 2.2k","C_0402_1005Metric",252.476000,-138.684000,180.000000,top
"R8","R 2.2k","C_0402_1005Metric",252.476000,-143.256000,180.000000,top
"R9","R 2.2k","C_0402_1005Metric",252.476000,-148.336000,180.000000,top
"R10","R 2.2k","C_0402_1005Metric",251.996000,-128.016000,180.000000,top
"R11","R 2.2k","C_0402_1005Metric",251.968000,-133.096000,180.000000,top
"R12","R 2.2k","C_0402_1005Metric",252.443651,-139.719150,180.000000,top
"R13","R 2.2k","C_0402_1005Metric",252.476000,-144.272000,180.000000,top
"R14","R 2.2k","C_0402_1005Metric",252.476000,-149.352000,180.000000,top
"R15","R 2.2k","C_0402_1005Metric",251.996000,-129.032000,180.000000,top
"R16","R 2.2k","C_0402_1005Metric",251.996000,-134.112000,180.000000,top
"R18","R 2.2k","C_0402_1005Metric",252.443651,-140.735150,180.000000,top
